"Coluna A","Coluna B","Coluna C"
842,582,694
854,889,166
709,218,526
207,189,575
590,588,847
260,112,731
975,952,318
856,691,794
895,299,648
417,341,640
831,681,893
982,190,740
922,389,309
936,712,615
792,928,126
663,963,174
455,441,714
259,871,967
282,445,685
853,773,891
152,727,152
795,804,595
250,181,110
915,893,739
362,126,291
536,338,231
375,449,409
414,738,290
689,212,756
479,443,610
735,140,356
988,494,170
466,215,739
407,271,684
715,736,117
226,220,763
583,320,467
909,944,900
676,714,375
882,551,875
561,940,419
768,958,939
640,695,771
646,964,106
915,969,350
228,457,967
916,164,848
557,908,481
979,859,352
828,868,949
584,100,434
444,653,926
757,493,553
148,371,145
556,962,224
249,561,539
264,103,286
858,914,843
219,784,464
478,153,195
421,251,839
335,273,475
258,789,739
585,434,473
897,184,574
232,180,808
110,849,853
599,175,834
515,992,385
284,534,795
784,361,964
824,769,774
525,787,669
140,154,768
937,899,206
184,889,464
124,709,937
668,991,534
131,662,261
893,376,939
210,868,189
237,745,608
140,160,838
243,501,201
576,890,851
258,917,149
259,359,744
763,152,773
265,461,116
547,968,482
722,442,776
930,751,659
867,780,104
133,308,669
502,358,970
815,112,237
640,221,722
200,970,900
709,625,865
777,431,576
